
[0057]  [070]  []  []

-Z/11/250/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΘΕΡΑ-
-Z/11/311/12	τινὰς ἄμεινον, εἰ δὲ τοῦτο, καὶ προπεριπατήσαντας ἐνίους, 
-Z/11/311/13	ἐφ' ὧν δὲ ἦρος εἰσβαλόντος ἐπὶ φλεβοτομίαν ἔρχεσθαι. διὰ 
-Z/11/311/14	προσδοκίαν πυρετῶν οἶδα φλεβοτομήσας ἐνίους καὶ μετὰ 
-Z/11/311/15	τὸ πρᾶξαί τινα τῶν συνήθων ἔργων, ἢ ἐν διδασκαλείοις, 
-Z/11/311/16	ἢ ἐργαστηρίοις, ἢ κατ' ἀγορὰν, ἢ ἐπὶ τῆς οἰκίας. ὅ γε 
-Z/11/311/17	μὴν τῆς ἐπαφαιρέσεως καιρὸς, ἐφ' ὧν μὲν ἁπλῶς κενῶσαι,  
-Z/11/312/1	κᾂν δύο ταῖς ἐφεξῆς ἡμέραις γένηται, βέλτιον ἐστί. προσ-
-Z/11/312/2	έχειν δ' ἐν ἅπασι τοῖς τοιούτοις σε χρὴ τὴν δύναμιν τοῦ 
-Z/11/312/3	κάμνοντος, ἁπτόμενον τῶν αὐτοῦ ἀρτηριῶν. ἔνιοι γὰρ 
-Z/11/312/4	εὐπαθεῖς εἰσι τὴν δύναμιν, ὡς μὴ φέρειν ἀθρόαν κένωσιν, 
-Z/11/312/5	ἐφ' ὧν ἀνακτησάμενος ἐν τῇ πρώτῃ τῶν ἡμερῶν τὸν κά-
-Z/11/312/6	μνοντα, ἐπαφαιρεῖν ἐν τῇ δευτέρᾳ προσήκει. 
-Z/11/312/7	  Ὅτι καὶ τὰς ἀρτηρίας φλέβας ὀνομά-
-Z/11/312/8	ζουσιν οἱ παλαιοὶ καὶ ἡμῖν ἑτέρωθι δέδεικται καὶ πρὸ ἡμῶν 
-Z/11/312/9	ἄλλοις ὡμολόγηται. διά τε οὖν αὐτὸ καὶ προσέτι τὴν οἰ-
-Z/11/312/10	κειότητα τῶν διδασκαλιῶν καὶ βραχύτητα τοῦ λόγου, κάλ-
-Z/11/312/11	λιον ἔδοξέ μοι μὴ γράφειν ἕτερον βιβλίον ὑπὲρ ἀρτηριο-
-Z/11/312/12	τομίας, ἀλλὰ τῷ τῆς φλεβοτομίας συνάψαι λόγῳ, καὶ τοῦτό 
-Z/11/312/13	γε αὐτὸ κατὰ τόδε τὸ μέρος, ἐν ᾧ σκοπούμεθα τίνας ἐπὶ 
-Z/11/312/14	τίσι μέρεσι πεπονθόσι προσήκει διαιρεῖσθαι φλέβας. ὡς γὰρ 
[0057]  [070]  []  []

-Z/11/312/15	ἄλλας ἐπ' ἄλλοις ἐδείξαμεν, οὕτω δὴ καὶ τὰς κατὰ τοὺς 
-Z/11/312/16	κροτάφους ἀρτηρίας καὶ τὰς τῶν ὤτων ὄπισθεν ἔθος ἐστὶ 
-Z/11/312/17	τοῖς ἰατροῖς διαιρεῖν, τὰς μὲν ἐν τοῖς κροτάφοις ἐπὶ 
-Z/11/312/18	τοῖς ἐν ὀφθαλμοῖς ῥεύμασιν, ὅσα θερμὰ καὶ πνευμα- 
-Z/11/313/1	τώδη, τὰς δὲ ὄπισθεν τῶν ὤτων ἐπὶ σκοτωματικοῖς μά-
-Z/11/313/2	λιστα καὶ ὅσοι χρονίοις ἀλγήμασι κεφαλῆς θερμοῖς καὶ 
-Z/11/313/3	πνευματώδεσι κάμνουσιν. ἤδη δὲ καὶ δι' ἄλλα πάθη περὶ 
-Z/11/313/4	τὴν κεφαλὴν συνιστάμενα χρόνια κέχρηνται τινὲς ἀρτηριο-
-Z/11/313/5	τομίᾳ τῶν ὤτων ὄπισθεν. οὐ μὴν ἐφ' ἑτέρου γέ τινος 
-Z/11/313/6	μορίου πάσχοντος ἐχρήσαντο τῷ βοηθήματι, καίτοι τῶν 
-Z/11/313/7	πολλῶν δεομένων αὐτοῦ μᾶλλον ἢ φλεβοτομίας. ἔνθα γὰρ 
-Z/11/313/8	ἐνοχλεῖ θερμὸν αἷμα καὶ πνευματῶδες ἐν ταῖς ἀρτηρίαις 
-Z/11/313/9	ἠθροισμένον, ἐνταῦθα χρεία τῶν κοινῶν τῷ πάσχοντι μορίῳ 
-Z/11/313/10	τεμνομένων ἀρτηριῶν. ἀλλὰ διὰ τὸ δυσεπίσχετον τῆς ἀρ-
-Z/11/313/11	τηρίας οὐ τολμῶσιν οἱ ἰατροὶ διαιρεῖν τὰς ἀρτηρίας, ὅπου 
-Z/11/313/12	γε καὶ φλεβοτομοῦντες τινὲς, ὅταν ἀρτηρίαν τρώσωσιν ἐν 
-Z/11/313/13	τῷ παραχρῆμα, δυσχερῶς ἱστῶσι τὴν αἱμοῤῥαγίαν, καὶ ὅταν 
-Z/11/313/14	τὰ βέλτιστα πράξωσιν, εἰς οὐλὴν τῆς διαιρέσεως ἰούσης 
-Z/11/313/15	ἀνεύρυσμα γίνεται. 
-Z/11/313/16	  Καὶ μέντοι καὶ ἀποθανόντας τινὰς 
-Z/11/313/17	ἴσμεν ἐκ τῆς ὑποκειμένης ἀρτηρίας τῇ κατ' ἀγκῶνα φλεβὶ 
-Z/11/313/18	τῇ ἔνδον. ἐνίους μὲν ἐν τῷ παραχρῆμα διὰ τὸν περιβλη- 
-Z/11/314/1	θέντα βρόχον, ἐθελησάντων τε τῶν ἰατρῶν ἐπέχειν, ὡς 
-Z/11/314/2	τὴν αἱμοῤῥαγίαν εἰς γάγγραιναν ἐλθεῖν, ἐνίους δ' ὕστερον 
-Z/11/314/3	ἐν τῇ τῶν ἀνευρυσμάτων χειρουργίᾳ διαφθαρέντας. ἀναγ-
-Z/11/314/4	καῖον γὰρ ἐν ταύτῃ βρόχῳ διαλαμβάνεσθαι τὸ ἀγγεῖον. τὰς 
-Z/11/314/5	μὲν οὖν ἀξιολόγους κατὰ τὸ μέγεθος ἀρτηρίας διὰ ταῦτα 
-Z/11/314/6	φεύγουσιν οἱ ἰατροὶ, τὰς δὲ μικρὰς ὡς οὐδὲν μέγα δυνα-
-Z/11/314/7	μένας ἀνύσαι. καίτοι καὶ αὗται πολλάκις ἡμῖν ὤφθησαν 
-Z/11/314/8	οὐ μικρὰν ὠφέλειαν ἐπιφέρουσαι μετὰ καὶ τοῦ συνουλοῦ-
-Z/11/314/9	σθαι χωρὶς ἀνευρύσματος. καὶ μέντοι κᾂν μείζων ἀρτηρία 
-Z/11/314/10	ᾖ, καὶ αὐτὴ χωρὶς ἀνευρύσματος συνουλοῦται διαιρεθεῖσα 
-Z/11/314/11	πᾶσα. καὶ πολλάκις τοῦτο αὐτὸ τὸν ἐκ τῆς αἱμοῤῥαγίας 
-Z/11/314/12	κίνδυνον ἰάσατο. φαίνεται γὰρ σαφῶς ὅθ' ὅλη δι' ὅλης 
-Z/11/314/13	ἑαυτῆς ἐγκαρσίως διακοπῇ, τῶν μερῶν ἑκατέρων ἀνασπω-
-Z/11/314/14	μένων ἑκατέρωσε, τὸ μὲν ἄνω τοῦ μορίου, τὸ δὲ κάτω. 
-Z/11/314/15	τοῦτο μέν γε καὶ ταῖς φλεψὶν, ἀλλὰ μετρίου ὑπάρχει, ταῖς 
-Z/11/314/16	δ' ἀρτηρίαις ἀεὶ μᾶλλον τῶν φλεβῶν. ἔγωγ' οὖν ὅθεν 
-Z/11/314/17	ὁρμηθεὶς ἐπὶ τὸ διαιρεῖν ἀρτηρίας ἧκον ἤδη σοι φράσω. 
-Z/11/314/18	προτραπεὶς ὑπό τίνων ὀνειράτων δυοῖν ἐναργῶς μοι γενο- 
-Z/11/315/1	μένων ἧκον ἐπὶ τὴν ἐν τῷ μεταξὺ λιχανοῦ τε καὶ μεγάλου 
-Z/11/315/2	δακτύλου τῆς δεξιᾶς χειρὸς ἀρτηρίαν, ἐπέτρεψά τε ῥεῖν ἄχρις 
-Z/11/315/3	ἂν αὐτομάτως παύσηται τὸ αἷμα, κελεύσαντος οὕτω τοῦ 
-Z/11/315/4	ὀνείρατος. ἐῤῥύη μὲν οὖν οὐδ' ὅλη λίτρα. παραχρῆμα δ' 
-Z/11/315/5	ἐπαύσατο χρόνιον ἄλγημα κατ' ἐκεῖνο μάλιστα τὸ μέρος ἐρεῖ-
-Z/11/315/6	δον, ἔνθα συμβάλλει τῷ διαφράγματι τὸ ἧπαρ. ἐμοὶ μὲν 
-Z/11/315/7	οὖν τοῦτο συνέβῃ νέῳ τὴν ἡλικίαν ὄντι. θεραπευτὴς δὲ τοῦ 
-Z/11/315/8	θεοῦ ἐν Περγάμῳ χρονίου πλευρᾶς ἀλγήματος ἀπηλλάγη δι' 
-Z/11/315/9	ἀρτηριοτομίας ἐν ἄκρᾳ τῇ χειρὶ γενομένης, ἐξ ὀνείρατος ἐπὶ 
-Z/11/315/10	τοῦτο ἐλθὼν καὶ αὐτός. ἑτέρῳ δὲ τραύματος ἐν τῷ σφυρῷ 
-Z/11/315/11	γενομένου διαιρεθείσης ἀρτηρίας, οὐκ ἐπαύετο μὲν ἡ φορὰ 
-Z/11/315/12	τοῦ αἵματος, ἄχρι κληθεὶς ἐγὼ διέτεμον ὅλην αὐτὴν, εἶτα τῷ 
-Z/11/315/13	διὰ τῆς ἀλόης καὶ μάννης καὶ τοῦ λευκοῦ τῶν ὠῶν ἐχρησάμην 
-Z/11/315/14	φαρμάκῳ λαγῴαις ἀναλαμβανομένῳ θριξὶ, καὶ χωρὶς μὲν ἀνευ-
-Z/11/315/15	ρύσματος ἐθεραπεύθη τὸ τραῦμα περισαρκωθέντος τοῦ 
-Z/11/315/16	στόματος τῆς ἀρτηρίας, ὁ δὲ ἄνθρωπος ἐτῶν ἤδη τεσσάρων 
-Z/11/315/17	ἐκ διαλειμμάτων οὐ μικρῶν ὀδυνώμενος τὸ ἰσχίον, ἐξ ἐκείνου 
-Z/11/315/18	τελέως ὑγιὴς ἐγένετο. ταῦτα οὖν ἔπεισέ με πολλάκις ἐν ἄκροις  
-Z/11/316/1	τε τοῖς κώλοις, καὶ μέντοι καὶ κατὰ τὴν κεφαλὴν ἀρτηρίας 
-Z/11/316/2	διαιρεῖν, ἐπὶ πᾶσιν ἀλγήμασιν, ὅσα διὰ θερμὴν οὐσίαν ἢ πνευ-
-Z/11/316/3	ματώδη τὴν γένεσιν ἔχειν ἔδοξεν, καὶ μάλιστα κατὰ τοὺς ὑμέ-
-Z/11/316/4	νας, ὧν τὸ ἄλγημα νυγματῶδές τ' ἐστὶ καὶ πλατυνόμενον 
-Z/11/316/5	ἀτρέμα, τῆς μὲν νυγματώδους αἰσθήσεως καθ' ἕν τι μέρος 
-Z/11/316/6	ὡς ἂν κέντρον τοῦ πεπονθότος τόπου γινομένης, τάσεως δ' 
-Z/11/316/7	αἴσθησιν ἴσχοντος τοῦ περὶ τὸ κέντρον τοῦ μυὸς παντός.  
