
[0057]  [101]  []  []

-Z/18b/629/t1	{ΤΟ ΙΠΠΟΚΡΑΤΟΥΣ ΚΑΤ' ΙΗΤΡΕΙΟΝ 
-Z/18b/693/8	ἀγκῶνα τοῦ πήχεως ἐπιλαμβάνειν αὐτὸ προσῆκεν· ἢ δηλον-
-Z/18b/693/9	ότι παρέλιπεν ὡς σαφὲς τοῦτο καὶ πρὸς ἁπάντων ἡμῶν 
-Z/18b/693/10	εὑρεθῆναι δυνάμενον. οὐ γὰρ χαλεπόν ἐστι στοχάσασθαι 
-Z/18b/693/11	καθ' ἑκάστην ἐνέργειαν, ὁπόσον δεῖ τοῦ ἱματίου τοὺς ἀγκῶ-
-Z/18b/693/12	νας ὑπερβαίνοντος ἐκτετάσθαι κατὰ τοῦ πήχεως, σκοπὸν 
-Z/18b/693/13	κἀνταῦθα πεποιημένους τόν τε τῆς εὐσχημοσύνης καὶ τὰς 
-Z/18b/693/14	τῆς πρὸς τὴν προκειμένην χειρουργίαν χρείας. ὥσπερ δ' 
-Z/18b/693/15	ὀλίγον ἔμπροσθεν ἐφ' ὧν ἐχρῆν λαθεῖν, ἐναντίους 
-Z/18b/693/16	ἔφην εἶναι σκοποὺς, ἵνα μὲν μὴ βλέπηται τὸ φαινόμενον 
-Z/18b/693/17	δέον σκοτεινοῦ ἀέρος, ἵνα δὲ τὸ χειριζόμενον ὁ χειρίζων 
-Z/18b/693/18	αὐτὸ βλέπῃ, λαμπροῦ φωτός. ὅ ποτε δ' ἂν αὐτῶν ἐπικρα- 
-Z/18b/694/1	τῆ, τὸν σκοπὸν ἐκείνῳ προσχωρεῖν. εἰ δέ σοι δόξειεν εἶναι 
-Z/18b/694/2	τὸ μέσον ἀκριβῶς ἀμφοτέρων αἱρεῖσθαι, κατὰ τὸν αὐτὸν 
-Z/18b/694/3	τρόπον καὶ νῦν ἐστι καὶ διὰ παντὸς ἐπὶ πάντων ποιητέον, 
-Z/18b/694/4	ἔνθα πρὸς ἐναντία πράγματα ποδηγοῦσιν οἱ σκοποὶ, τὸ μέ-
-Z/18b/694/5	σον μὲν ἀμφοῖν αἱρουμένους πάντως, ὁπότερος δ' ἂν ἐπι-
-Z/18b/694/6	κρατῇ, πρὸς ἐκεῖνον ἐκκλίνοντας. τὸ μὲν οὖν κατὰ τὴν 
-Z/18b/694/7	χειρουργίαν ὅσον ἐπ' αὐτῇ ἐδεῖτο τῆς ὅλης χειρὸς γυμνῆς, 
-Z/18b/694/8	τὰ δὲ τῆς εὐσχημοσύνης ὅλης αὐτῆς ἐσκεπασμένης· διὰ 
-Z/18b/694/9	τοῦτ' οὖν ἀεὶ μὲν τὸ μέσον ἀμφοῖν αἱρεῖσθαι προσήκει, 
-Z/18b/694/10	προσχωρεῖν δὲ τῷ μᾶλλον ἐπείγοντι. 
-Z/18b/694/11	          — — — 
-Z/18b/694/12	            ιζʹ. 
-Z/18b/694/13	Πρὸς δὲ τὸ χειριζόμενον τοῦ μὲν πρόσω καὶ ἐγγὺς καὶ ἄνω 
-Z/18b/694/14	  καὶ κάτω καὶ ἔνθα ἢ ἔνθα ἢ μέσον. τοῦ μὲν πρόσω καὶ 
-Z/18b/694/15	  ἐγγὺς ὅριον ἀγκῶνες· εἰς μὲν τὸ πρόσθεν γούνατα μὴ 
-Z/18b/694/16	  ἀμείβειν, εἰς δὲ τὸ ὄπισθεν πλευράς. τοῦ δὲ ἄνω μὴ 
-Z/18b/694/17	  ἀνωτέρω μαζῶν ἄκρας χεῖρας ἔχειν, τοῦ δὲ κάτω μὴ  
-Z/18b/695/1	  κατωτέρω ἢ ὡς τὸ στῆθος ἐπὶ γούνασιν ἔχειν. ἄκρας 
-Z/18b/695/2	  χεῖρας ἐγγωνίους πρὸς βραχίονας σχηματίζειν. τὰ μὲν 
-Z/18b/695/3	  κατὰ μέσον οὕτως, τὰ δὲ ἔνθα ἢ ἔνθα μὴ ἔξω τῆς ἕδρας. 
-Z/18b/695/4	  κατὰ λόγον δὲ τῆς ἐπιστροφῆς προβαλλόμενον τὸ σῶμα καὶ 
-Z/18b/695/5	  τοῦ σώματος τὸ ἐργαζόμενον. 
-Z/18b/695/6	          — — — 
-Z/18b/695/7	    Ἐπειδὰν τὸν ἰατρὸν ἐκέλευσε συμμέτρως ἔχειν πρὸς 
-Z/18b/695/8	ἑωυτὸν, πρὸς τὸ χειριζόμενον, πρὸς τὴν αὐγὴν, ἤτοι καθή-
-Z/18b/695/9	μενον ἢ ἑστῶτα καὶ πρῶτον ἐνεχείρισε λέγειν τὴν τοῦ κα-
-Z/18b/695/10	θημένου συμμετρίαν πρὸς ἕκαστον τῶν τριῶν, ἀρξάμενος 
-Z/18b/695/11	ἀπὸ τῆς αὐγῆς. εἶτα μεταβὰς ἐπὶ τὴν πρὸς ἑαυτὸν αὐτοῦ 
-Z/18b/695/12	συμμετρίαν καὶ ταύτην διελθὼν ἐπὶ τὸ λοιπὸν ἔτι τρίτον 
-Z/18b/695/13	ἥκει, διδάσκων τὴν πρὸς τὸ χειριζόμενον αὐτοῦ συμμε-
-Z/18b/695/14	τρίαν. οὔτε γὰρ ἐγγὺς πάνυ προσήκει καθῆσθαι τοῦ χει-
-Z/18b/695/15	ριζομένου τὸν ἰατρὸν, ὡς ὑπὸ στενοχωρίας ἐμποδίζεσθαι 
-Z/18b/695/16	τὰς τῶν χειρῶν ἐνεργείας οὔτε διεστηκέναι τοσοῦτον, ὡς 
-Z/18b/695/17	μόγις ἐφικνεῖσθαι τοῦ χειριζομένου. τίθησι γοῦν κἀνταῦθά 
-Z/18b/695/18	τινας ὅρους, ὧν οὔτ' εἰς τὸ πρόσω χωρεῖν οὔτ' εἰς τοὐ- 
-Z/18b/696/1	πίσω προσήκει τὸν χειρίζοντα. μεμνήμεθα δὲ ὅτι περὶ τοῦ 
-Z/18b/696/2	καθημένου πρῶτον ὁ λόγος ἐστὶν αὐτῷ. τοσοῦτον οὖν ἀξιοῖ 
-Z/18b/696/3	διεστηκέναι τοῦ κάμνοντος, ὡς μήτε προσωτέρω ποτὲ τῶν 
-Z/18b/696/4	γονάτων ἴσχειν τοὺς ἀγκῶνας μήτε ὀπίσω τῶν πλευ-
-Z/18b/696/5	ρῶν. ἐπὶ μὲν δὴ τῆς κατὰ τοὐπίσω τε καὶ πρόσω δια-
-Z/18b/696/6	στάσεως τούτους ἔθετο τοὺς ὅρους. ὀνομάζεται δὲ κατὰ 
-Z/18b/696/7	τὸ μῆκος ἡ διάστασις αὕτη· λοιπῶν δὲ οὐσῶν δυοῖν δια-
-Z/18b/696/8	στάσεων, μιᾶς μὲν τῆς κατὰ τὸ πλάτος, ἑτέρας δὲ τῆς κατὰ 
-Z/18b/696/9	τὸ βάθος καὶ ὕψος, ἑκατέρως δὲ ὀνομάζεται, τῆς μὲν κατὰ 
-Z/18b/696/10	τὸ ὕψος ὅρια τίθησι μήτε ἀνωτέρω τῶν μαστῶν ἄκρας 
-Z/18b/696/11	χεῖρας ἔχειν τὸν ἐνεργοῦντα μήτε κατωτέρω ἢ ὡς τὸ στῆ-
-Z/18b/696/12	θος ἐπικείμενον ἔχοντα τοῖς γόνασι, τὰς χεῖρας ἐγγωνίους 
-Z/18b/696/13	ἐσχηματικέναι πρὸς τὸν βραχίονα. καλεῖ δὲ ἐγγωνίους, ὅταν 
-Z/18b/696/14	ὀρθὴν γωνίαν πῆχυς ἐργάζηται πρὸς τὸν βραχίονα, μέσον 
-Z/18b/696/15	γάρ ἐστι τοῦτο τὸ σχῆμα καμπῆς τε τῆς κατ' ἀγκῶνα τε-
-Z/18b/696/16	λέως, μεθ' ἣν οὐκέτι κάμψαι δυνατόν ἐστιν, ἐκστάσεώς τε 
-Z/18b/696/17	σχήματος, μεθ' ἣν ἀμήχανον ἔσται ἐπεκτεῖναι τὴν χεῖρα. 
-Z/18b/696/18	τῆς δὲ κατὰ πλάτος εἰς τὰ πλάγια μέρη γιγνομένης διαστά- 
-Z/18b/697/1	σεως ὅρον ἑκατέρως ἐτίθετο τῆς κατὰ τὸ δεξιὸν καὶ τὸ 
-Z/18b/697/2	τέλειον, ὡς ἄχρηστον ποιεῖσθαι τὰς ἐπιστροφὰς, ὡς μὴ 
-Z/18b/697/3	κατακινεῖσθαι τὰς ἕδρας, τουτέστι τὰ μόρια τοῦ σώματος, 
-Z/18b/697/4	οἷς ἑδραζόμεθά τε καὶ στηριζόμεθα κατὰ τῶν ὑποκειμένων. 
-Z/18b/697/5	εἴρηνται μὲν οὖν ἐφεξῆς ἀλλήλων οἱ ὅροι κατὰ διαφέροντας 
-Z/18b/697/6	χρόνους· ἐν ᾧ καὶ χρόνῳ περὶ τῶν κατὰ μῆκος ἐδίδασκε 
[0057]  [101]  []  []

-Z/18b/697/7	διαστάσεων, ἐν τούτῳ περὶ τῆς κατὰ πλάτος καὶ ὕψος οὐχ 
-Z/18b/697/8	οἷόν τ' ἦν διδάσκειν, ὥσπερ οὐδὲ ὁπότε περὶ ἑκατέρας τῶν 
-Z/18b/697/9	λοιπῶν δυοῖν. αὐτὸν δὲ τὸν ἰατρὸν, οἶμαι, ταῦτα συμβου-
-Z/18b/697/10	λεύει διὰ παντὸς τοῦ ἀποβλέπειν χρὴ τῇ διανοίᾳ πρὸς τὰ 
-Z/18b/697/11	λελεγμένα πάντα. καὶ γὰρ πάντων ἐστὶν ἅμα χρεία κατὰ 
-Z/18b/697/12	πᾶσαν ἐνέργειαν. οὔσης οὖν τινος μέσης καταστάσεως ἐν 
-Z/18b/697/13	τῷ καθῆσθαι τὸν ἰατρὸν, ὅταν μὴ βλέπων, μηδὲν ἐνεργεῖ 
-Z/18b/697/14	ταύτην. εὐσχημονεστέραν τε καὶ σεμνοτέραν εἶναι προσῆ-
-Z/18b/697/15	κεν, ὡς εἰ καὶ γραφεύς τις ἢ πλάστης ἔμελλεν αὐτοῦ ποιή-
-Z/18b/697/16	σειν εἰκόνα. πρὸς δὲ τὴν χειρουργίαν ἀφικνουμένου χρὴ 
-Z/18b/697/17	κινεῖσθαι τὰς χεῖρας, ἐνίοτε μὲν ἅμα πρόσω τε καὶ ἄνω, 
-Z/18b/697/18	κἄπειτα δ' ἐπ' ἀριστερὰ, μετὰ τοῦ πρόσω τε καὶ ἄνω πά- 
-Z/18b/698/1	λιν ἐκ τούτων τῶν σχημάτων ἤτοι γε ὀπίσω τὰς χεῖρας 
-Z/18b/698/2	ἀμφοτέρας ἢ μόνην μίαν φέρειν. οὕτω δὲ καὶ ἢ κάτω 
-Z/18b/698/3	ποτὲ ἢ πάλιν ἄνω καὶ κάτω τε καὶ ὀπίσω. πολυειδῶς γὰρ 
-Z/18b/698/4	τὰ σχήματα ὑπαλλάσσεται συμπλεκομένων ἀλλήλαις τῶν δια-
-Z/18b/698/5	στάσεων. ἐν ἁπάσαις ταύταις ἐστὶ κοινὸν τὸ φυλάττειν τὴν 
-Z/18b/698/6	ἕδραν, ἣν διαφθείρουσιν ἔνιοι τοὺς ὅρους τῶν διαστάσεων 
-Z/18b/698/7	ὑπερβάλλοντες. ἐάν τε γὰρ οὕτως ὑψηλὸν ᾖ κείμενον τὸ 
-Z/18b/698/8	χειριζόμενον μόριον, ὡς ὑπὲρ τοὺς αὐτοῦ τιτθοὺς ἀναφέρειν 
-Z/18b/698/9	τὰς χεῖρας τὸν ἰατρὸν, ἀναγκασθήσεταί ποτε κουφίσαι με-
-Z/18b/698/10	τεωρότερον αὐτὸν ἐπὶ τῆς ἕδρας, ὡς ἀνιστάμενος, ὡς μηδὲ 
-Z/18b/698/11	ἑστάναι μηδέπω, μηδὲ καθῆσθαι, ἀλλ' ἐν ἀστηρίκτῳ τε καὶ 
-Z/18b/698/12	μέσῳ τούτων σχήματι καθεστάναι· ἄν τ' ἐπὶ πλεῖστον ἐπὶ 
-Z/18b/698/13	τὸ δεξιὸν ἢ ἐπὶ τὸ ἀριστερὸν μέρος ἀποκεχωρηκὼς ἐπ' ἐκεί-
-Z/18b/698/14	νοις, αὐτὸς ἐκ τῆς ἕδρας κινηθήσεται, ὡς ὀλισθήσεσθαι ἐξ 
-Z/18b/698/15	αὐτῆς κινδυνεύσας. τί δεῖ λέγειν ὡς ἐπὶ τοῦ πρόσω ἢ 
-Z/18b/698/16	ὀπίσω μέρους ἀμφοτέρως ὅμοια ποιήσεται· καὶ μόνον γέ 
-Z/18b/698/17	τις τοῦ εἰς τὰ κάτω πρὸς τὸ σκοτίζειν αὐτοῦ τὴν ἐνέργειαν, 
-Z/18b/698/18	ἐν ᾧ πρέπει σχήματι καθήσεται. 
-Z/18b/698/19	          — — —  
-Z/18b/699/1	            ιηʹ. 
-Z/18b/699/2	Ἑστεῶτα δὲ δεῖ καὶ ἐπ' ἀμφοτέρων βεβαῶτα ἐξ ἴσου 
-Z/18b/699/3	  τῶν ποδῶν ἅλις· δρῇν δὲ τῷ ἑτέρῳ ἐπιβεβαῶτα μὴ τῷ 
-Z/18b/699/4	  κατὰ τὴν δρῶσαν χεῖρα ὕψος γούνατι πρὸς βουβῶνα, ὡς 
-Z/18b/699/5	  ἐν ἕδρῃ· καὶ τὰ ἄλλα ὅρια τὰ αὐτά. 
-Z/18b/699/6	          — — — 
-Z/18b/699/7	    Τὸν περὶ τοῦ καθημένου συμπληρώσας λόγον ἐπὶ τὸν 
-Z/18b/699/8	ἐνεστῶτα μετέβη, πάντως αὐτὸν κελεύων φυλάττειν, ὃ μι-
-Z/18b/699/9	κρὸν ἔμπροσθεν ἐπὶ τοῦ καθημένου ἐκέλευσεν, ὅτι τὸ τῆς 
-Z/18b/699/10	βάσεως τῶν ποδῶν ἄνισον· ὑψηλότερον γὰρ εἶναι βούλεται 
-Z/18b/699/11	τὸν ἕτερον αὐτῷ, ὡς μὴ κατ' εὐθύ τι τοῦ ἐνεργοῦν-
-Z/18b/699/12	τος εἶναι τὴν τοιαύτην στάσιν, ἣν ὅτι καὶ αὐτὴν φυλάξει 
-Z/18b/699/13	διὰ πάσης ἐνεργείας, ἐὰν μήτε ὑψηλὸν ἱκανῶς τὸ χειριζό-
-Z/18b/699/14	μενον μόριον μήτε ποῤῥώτερον κατὰ τὸ μῆκος ἢ πλάτος, 
-Z/18b/699/15	εὔδηλον τῷ μεμνημένῳ τῶν προειρημένων. τὸ μὲν γὰρ οὕ-
-Z/18b/699/16	τως ὑψηλὸν, ὡς τὸν ἰατρὸν ἀναγκάζεσθαι μετεωροτέρας τῶν 
-Z/18b/699/17	ἑαυτοῦ τιτθῶν ἔχειν τὰς χεῖρας, ἀποσαλεύσει τῆς ἕδρας  
-Z/18b/700/1	αὐτὸν ἀνατεινόμενον ἀμέτρως. τὸ δὲ ἐπὶ πλεῖστον ἀφεστη-
-Z/18b/700/2	κὸς πάλιν αὖ καὶ τὸ προβαίνειν ἀναγκάζον, ἀπολείπειν βιά-
-Z/18b/700/3	σεται τὴν ἐξ ἀρχῆς ἕδραν. ἐπεὶ δὲ ἐπί τινος ἐστηρίχθαι 
-Z/18b/700/4	τὸν ἕτερον τῶν ποδῶν βούλεται, κἀνταῦθα τὸ ποσὸν τοῦ 
-Z/18b/700/5	ὕψους ἐδήλωσεν, ἀξιώσας τὴν αὐτὴν σχέσιν τῷ γόνατι πρὸς 
-Z/18b/700/6	βουβῶνας, ἣν κἀπὶ τῶν καθημένων εἶπεν. εἰρήκει δ' ἐπ' 
-Z/18b/700/7	ἐκείνων, γούνατα δὲ ἀνώτερον βουβώνων μικρὸν, ὡς ἀσφα-
-Z/18b/700/8	λεστάτης τε ἅμα καὶ εὐσχημονεστάτης πρὸς τὰς ἐνεργείας 
-Z/18b/700/9	καὶ ἑτοιμοτάτης οὔσης τῆς τοιαύτης ἕδρας. ἀλλὰ νῦν γε 
-Z/18b/700/10	τῷ ἑτέρῳ γόνατι τῷ ὑψηλῷ μόνῳ πρὸς τοὺς βουβῶνας εἶναι 
-Z/18b/700/11	τὴν αὐτὴν σχέσιν ἀξιοῖ, πληθυντικῶς βουβῶνας ἀμφοτέρων 
-Z/18b/700/12	τῶν σκελῶν ἴσον ἔχειν ὕψος. 
-Z/18b/700/13	          — — — 
-Z/18b/700/14	            ιθʹ. 
-Z/18b/700/15	Ὁ δὲ χειριζόμενος τῷ χειρίζοντι τῷ ἄλλῳ τοῦ σώματος μέ-
-Z/18b/700/16	  ρει ὑπηρετείτῳ ἢ ἑστεὼς ἢ καθήμενος ἢ κείμενος ὅκως 
-Z/18b/700/17	  ἂν ῥήϊστα ὧδε ὡς σχῆμα ἔχων διατέλει, φυλάσσων ὑπόῤ-
-Z/18b/700/18	  ῥυσιν, ὑπόστασιν, ἔκτρεψιν, καντίαν, ὡς ὃ δεῖ σώζεται,  
-Z/18b/701/1	  καὶ σχῆμα καὶ εἶδος τοῦ χειριζομένου, ἐν παρέξει, ἐν χει-
-Z/18b/701/2	  ρισμῷ, ἐν τῇ ἔπειτα ἕξει. 
-Z/18b/701/3	          — — — 
-Z/18b/701/4	    Διαφερούσας ἐξηγήσεις ἐποιήσαντο τῆς ῥήσεως οἱ ἐξη-
-Z/18b/701/5	γησάμενοι τὸ βιβλίον εὐλόγως. ἥ τε γὰρ τῶν τεττάρων ὀνο-
-Z/18b/701/6	μάτων ἀσάφεια, τοῦ τῆς ὑποῤῥύσεως λέγω καὶ τοῦ 
-Z/18b/701/7	τῆς ὑποστάσεως καὶ τοῦ τῆς ἐκτρίψεως καὶ προσέτι τοῦ 
-Z/18b/701/8	τῆς καταντίας, τό τε βουληθῆναι τὸν Ἱπποκράτην πολλὰ 
-Z/18b/701/9	πράγματα δι' ὀλίγων λέξεων δηλῶσαι, τὴν αἰτίαν αὐτοῖς 
-Z/18b/701/10	παρέσχεται τῶν λεγομένων αἰτίας. ὅτε οὖν ἀσαφοῦς οὔσης 
-Z/18b/701/11	τοῦ γράψαντος αὐτὰ διανοίας, εἰκάζοντές τε καὶ στοχαζόμε-
-Z/18b/701/12	νοι μᾶλλον, οὐ σαφῶς ἰδόντες, εἰς ποικίλην διαφωνίαν ἐξέ-
-Z/18b/701/13	πεσον. ἐγὼ δὲ, ὅπερ ἐν ἅπασι τοῖς τοιούτοις εἴωθα ποιεῖν, 
-Z/18b/701/14	οὕτω καὶ νῦν πειράσομαι. τὰ μὲν ἀπίθανα αὐτοῖς εἰρημένα 
-Z/18b/701/15	παρήσας διώξω τὰ δόξαντά μοι πιθανῶς ἐπινενοῆσθαι, μετὰ 
-Z/18b/701/16	τοῦ προστιθέναι τι καὶ τῆς ἐμῆς γνώμης. ἄρξομαι δὲ ἀπὸ 
-Z/18b/701/17	τῆς τῶν ἀσαφῶν ὀνομάτων ἐξηγήσεως. ἐπειδὴ πρῶτόν ἐστι  
-Z/18b/702/1	τὸ ἁπλοῦν τοῦ συνθέτου καὶ πολλάκις τε τῶν ἁπλῶν οὐδε-
-Z/18b/702/2	νὸς ὄντος ἀσαφοῦς ἡ σύνθεσις αὐτῶν τὴν ἀσάφειαν ἐργάζε-
-Z/18b/702/3	ται, τοῦτο δὲ ἀμέλει καὶ κατὰ τὴν προκειμένην γέγονε ῥῆ-
-Z/18b/702/4	σιν. ἔνιοι μὲν γὰρ ὑπόῤῥυσιν ἤκουσαν ἐπὶ τῶν ὑγρῶν, καὶ 
-Z/18b/702/5	τούτων αὐτῶν διττῶς οἱ μὲν ἐκ τοῦ σώματος κινουμένων, 
-Z/18b/702/6	οἱ δὲ ἐπὶ τῶν ἐπιβρεχομένων ἔξωθεν· ἀλλὰ καὶ αὐτῶν τῶν 
-Z/18b/702/7	κατὰ τὴν χειρουργίαν ἐκρεόντων ἔφασαν αὐτὸν μνημονεύειν, 
