
[0057]  [096]  []  []

-Z/18a/346/t1	{ΠΕΡΙ ΤΩΝ ΟΥΧ ΕΩΡΑΜΕΝΩΝ 
-Z/18a/414/16	    Τροπικοῖς ὀνόμασι καὶ γλωσσηματικοῖς εἴωθεν ὁ Ἱπ-
-Z/18a/414/17	ποκράτης ἐννοιῶν χρῆσθαι, καίτοι πολιτικὴν ἑρμηνεύων 
-Z/18a/414/18	ἑρμηνείαν, ὅμοιόν τι τούτῳ πεπονθὼς ὁ Ξενοφῶν· καὶ  
-Z/18a/415/1	γὰρ ἐκεῖνος εἴπερ τις καὶ ἄλλος ἑρμηνεύων πολιτικῶς, 
-Z/18a/415/2	ὅμως παρεμβάλλει πολλάκις ὀνόματα γλωσσηματικὰ καὶ 
-Z/18a/415/3	τροπικά. σπανιώτερον μὲν οὖν παρ' ἐκείνῳ τὸ τοιοῦτον, 
-Z/18a/415/4	συνεχέστερον δὲ παρὰ τῷ Ἱπποκράτει, καθάπερ ἐπὶ τῇ 
-Z/18a/415/5	προγεγραμμένῃ ῥήσει τὸν κιγκλισμὸν εἶπεν, ἐνταῦθά τε τὸ 
-Z/18a/415/6	πλοώδης ἐστίν. ἐνδείκνυται γὰρ διὰ τῆς φωνῆς τὸ οἷον 
-Z/18a/415/7	ἀστήρικτος, ᾧ καὶ τὸ ζῶον φαινόμενον μαρτυρεῖ, καθ' ὅ 
-Z/18a/415/8	φησιν ἠνάγκαστο, καθ' ὃ πυκινοκίνητος αὐτὸς ἐδήλωσεν εἰπὼν, 
-Z/18a/415/9	διὰ τὴν τῆς ἀκρωμίης σύζευξιν. αὕτη δὲ πάλιν ἡ ἀκρωμίη 
-Z/18a/415/10	διὰ τὸ κατ' ὦμον ἄρθρον ἐστὶ πυκινοκίνητος, ἀτε-
-Z/18a/415/11	νὴς, ἅτε ὑπάρχων αὐτὸς καὶ μεγίστας ἔχων κινήσεις. τὸ δὲ 
-Z/18a/415/12	κατ' ἀρχὴν εἰρημένον τῆς ῥήσεως, τὸ ἄγχιστα μὲν τὴν ἀμ-
-Z/18a/415/13	φιβολίαν ἣν ἔχει πρότερον ἐπὶ τοῦ χωρίου προσῆκεν ἀκούειν 
-Z/18a/415/14	ἢ τοῦ πράγματος αὐτοῦ. δῆλον μὲν γὰρ ἐγγυτάτω, ἀλλ' 
-Z/18a/415/15	ἤτοι πλησίον τοῦ ἄρθρου πυκινοκίνητον ἐνδείξεται τὴν κλεῖν 
-Z/18a/415/16	εἰρημένον, ὅπερ ἐμοὶ δοκεῖ μᾶλλον ἄν τις ἀκούῃ ὀρθῶς, ἐνίοις 
-Z/18a/415/17	ἔδοξε συνάπτειν τὸ ἄγχιστα, δεήσει τὸ πυκινοκίνητον εἶναι  
-Z/18a/416/1	τὸ λεγόμενον, τὸ οὕτω ἐγγυτάτω τὸ πυκινοκινήτου ἡ κλείς 
-Z/18a/416/2	ἐστι πλησίον τοῦ κατ' ὦμον ἄρθρου. 
-Z/18a/416/3	          — — — 
-Z/18a/416/4	            ξθʹ. 
-Z/18a/416/5	Εἰ οὖν τις τῇ μὲν ἐπιδέσει χρῷτο τῇ νομίμῃ τοῦ ταχέως 
-Z/18a/416/6	  συναλθεσθῆναι εἵνεκα, ἡγήσαιτο δὲ τἄλλα πάντα μάτην 
-Z/18a/416/7	  εἶναι παρὰ τὸ σχῆμα τὸ εἰρημένον, ὀρθῶς τε ἂν ξυνίῃ, 
-Z/18a/416/8	  ἰητρεύοι τ' ἂν τάχιστα καὶ κάλλιστα· κατακέεσθαι μέντοι 
-Z/18a/416/9	  τὸν ἄνθρωπον μέγα τὸ διάφορόν ἐστι καὶ ἡμέραι ἱκαναὶ 
-Z/18a/416/10	  τεσσαρεσκαίδεκα, εἰ ἀτρεμέοι, εἴκοσι δὲ πάμπολλαι. 
-Z/18a/416/11	          — — — 
-Z/18a/416/12	    Νομίμην ἐπίδεσιν λέγει τὴν ὑπὸ πάντων εἰθισμένην 
-Z/18a/416/13	καὶ ὥσπερ ἄγραφον ἤδη νόμον οὖσαν· οὕτως γὰρ κἀν τῷ 
-Z/18a/416/14	βίῳ τινὰ τῶν ἐθῶν, ὅσα πρὸς ἁπάντων ἐπιτηδεύηται, τοῖς 
-Z/18a/416/15	νόμοις ἐστὶ παραπλήσια. τὴν μὲν οὖν καταγματικὴν ἐπί-
-Z/18a/416/16	δεσιν οὐ πάντῃ ἐποίουν τοῦ προσήκοντος, καὶ διὰ τοῦτο 
-Z/18a/416/17	πλείονα περὶ αὐτῆς ἔγραψεν ἐν πρώτῳ βιβλίῳ περὶ τῶν 
-Z/18a/416/18	ἀγμῶν. ἐνταυθοῖ δὲ οὐδεμία παθήματος ἐπίδεσις οὐδενὸς  
-Z/18a/417/1	τοιαύτη. δέδεικται γάρ μοι καὶ διὰ τῶν εἰς ἐκεῖνο τὸ βι-
-Z/18a/417/2	βλίον ὑπομνημάτων, ἀλλὰ καὶ νῦν ἀνεμνήσθη, πάντα μὲν 
-Z/18a/417/3	ὅσα τῷ τρόπῳ τῆς καταγματικῆς ἐπιδέσεως ὑποπίπτει πα-
-Z/18a/417/4	θήματα, κατ' ἐκεῖνο τὸ βιβλίον ὑπ' αὐτοῦ γεγράφθαι, πάντα 
-Z/18a/417/5	δ' αὖ πάλιν ὅσα τῇ λοιπῇ κατὰ τοῦτο. γίνεται γὰρ ἡ 
-Z/18a/417/6	καταγματικὴ περιβαλλόντων ἡμῶν ἐν κύκλῳ τὰ ὀθόνια τῷ 
-Z/18a/417/7	κατεαγότι μορίῳ. τὸ δεύτερον εἶδος τῆς ἐπιδέσεως ἐπ' ἄλλα 
-Z/18a/417/8	μόρια τὴν νομὴν ποιουμένων, καὶ κατά γε τὸ πλεῖστον ἐπὶ 
-Z/18a/417/9	τὰ ἀντικείμενα τῷ πεπονθότι, καθάπερ κἀν ἰητρείῳ εἶπεν· 
-Z/18a/417/10	ὁμολογέει δὲ ὁμοῦ μὲν ἡ περὶ τὴν ἑτέρην μασχάλην περι-
-Z/18a/417/11	βολή. 
-Z/18a/417/12	          — — — 
-Z/18a/417/13	            οʹ. 
-Z/18a/417/14	Εἰ μέντοι τινὶ ἐπὶ τἀναντία ἡ κληῒς καταγείη, ὃ οὐ μάλι-
-Z/18a/417/15	  στα γίνεται, ὥστε τὸ μὲν ἀπὸ τοῦ στήθεος ὀστέον ὑπο-
-Z/18a/417/16	  δεδυκέναι, τὸ δὲ ἀπὸ τῆς ἀκρωμίης ὀστέον ὑπερέχειν καὶ 
-Z/18a/417/17	  ἐποχέεσθαι ἐπὶ τοῦ ἑτέρου, οὐδεμιῆς μεγάλης ἰητρείης 
-Z/18a/417/18	  ταῦτά γ' ἂν δέοιτο. αὐτὸς γὰρ ὁ ὦμος ἀφιέμενος καὶ  
-Z/18a/418/1	  ὁ βραχίων ἱδρύοι ἂν τὰ ὀστέα πρὸς ἄλληλα καὶ φαύλη 
-Z/18a/418/2	  ἄν τις ἐπίδεσις ἀρκέοι καὶ ὀλίγαι ἡμέραι τῆς πωρώσιος 
-Z/18a/418/3	  γένοιτ' ἄν. 
-Z/18a/418/4	          — — — 
-Z/18a/418/5	    Ἔμπροσθεν μὲν ἔλεγεν, ὡς τὸ πολὺ τὸ ἀπὸ τοῦ στέρ-
-Z/18a/418/6	νου μέρος τῆς κλειδὸς, ὁπόταν ὅλη δι' ὅλης ἑαυτῆς ἀπο-
-Z/18a/418/7	καυλισθῇ, πρὸς τὴν ἄνω χώραν μεθίσταται, τα-
-Z/18a/418/8	πεινότερον δὲ γίγνεσθαι τὸ ἀπὸ τῆς ἀκρωμίης. νυνὶ δὲ 
-Z/18a/418/9	περὶ τοῦ σπανιωτέρου τρόπου γράφει, καθ' ὃν ὑψηλότερον 
-Z/18a/418/10	μὲν γίνεται ἀπὸ τῆς ἀκρωμίης, ταπεινότερον τὸ πρὸς τῷ 
-Z/18a/418/11	στέρνῳ, ὃ καί φησιν εὐιατότερον ὑπάρχειν. αὐτοῦ 
-Z/18a/418/12	καθιεμένου συγκαθίσταται καὶ τὸ τῆς κλειδὸς μέρος, ὅσον 
-Z/18a/418/13	συνεχές ἐστι τοῦ ἀκρωμίου. καὶ οὕτως ἐξ ἴσου τε γενόμε-
-Z/18a/418/14	νον θατέρῳ τῆς ἐπιδέσεως καὶ τῆς θεραπείας τυγχάνειν. 
-Z/18a/418/15	          — — — 
-Z/18a/418/16	            οαʹ. 
-Z/18a/418/17	Εἰ δὲ μὴ καταγείη μὲν οὕτως, παρολισθαίνοι δὲ ἐς τὸ 
-Z/18a/418/18	  πλάγιον ἢ τῇ ἢ τῇ, ἐς τὴν φύσιν μὲν ἀπαγαγεῖν ἂν δέοι,  
[0057]  [096]  []  []

-Z/18a/419/1	  ἀναγαγόντα τὸν ὦμον σὺν τῷ βραχίονι, ὥσπερ καὶ πρό-
-Z/18a/419/2	  σθεν εἴρηται. ὅταν δὲ ἵζηται εἰς τὴν ἀρχαίην φύσιν, 
-Z/18a/419/3	  ταχείη ἂν ἡ ἄλλη ἰητρείη εἴη. τὰ μὲν οὖν πλεῖστα τῶν 
-Z/18a/419/4	  παρηλλαγμένων κατορθοῖ αὐτὸς ὁ βραχίων ἀναγκαζόμενος 
-Z/18a/419/5	  πρὸς τὰ ἄνω. 
-Z/18a/419/6	          — — — 
-Z/18a/419/7	    Ἀκούειν σε χρὴ νῦν εἰρῆσθαι πρὸς αὐτοῦ κατὰ τὴν 
-Z/18a/419/8	ἔνδον ἢ ἔξω μετάστασιν τῶν ὀστῶν. ἄκουε δέ μου λέγον-
-Z/18a/419/9	τος ἔνδον μὲν εἰς τὸ βάθος τοῦ σώματος, ἔξω δὲ ἐπὶ τοῦ 
-Z/18a/419/10	πρὸς τὸ δέρμα. 
-Z/18a/419/11	          — — — 
-Z/18a/419/12	            οβʹ. 
-Z/18a/419/13	Ὅσα δὲ τῶν ἄνωθεν παρολισθαίνοντα ἐς τὸ πλάγιον ἦλθεν 
-Z/18a/419/14	  ἢ ἐς τὸ κατωτέρω, συμπορσύνοι ἂν τὴν κατόρθωσιν, εἰ 
-Z/18a/419/15	  ὁ μὲν ἄνθρωπος ὕπτιος κέοιτο, κατὰ δὲ τὸ μεσηγὺ τῶν 
-Z/18a/419/16	  ὠμοπλατέων ὑψηλότερόν τι ὀλίγον ὑποκέοιτο, ὡς περιῤῥη-
-Z/18a/419/17	  δὲς ἔῃ τὸ στῆθος ὡς μάλιστα καὶ τὸν βραχίονα, εἰ ἀνά- 
-Z/18a/420/1	  γοι τις παρὰ τὰς πλευρὰς παρατεταμένον. ὁ δὲ ἰητρὸς 
-Z/18a/420/2	  τῇ μὲν ἑτέρῃ χειρὶ ἐς τὴν κεφαλὴν τοῦ βραχίονος ἐμβα-
-Z/18a/420/3	  λὼν τὸ θέναρ τῆς χειρὸς ἀπωθέοι, τῇ δ' ἑτέρῃ τὰ ὀστέα 
-Z/18a/420/4	  τὰ κατεαγότα εὐθετίζοι, οὕτως ἂν μάλιστα ἐς τὴν φύσιν 
-Z/18a/420/5	  ἄγοι. ἀτὰρ ὅπερ ἤδη εἴρηται, εὖ μάλα τὸ ἄνωθεν ὀστέον 
-Z/18a/420/6	  ἐς τὸ κάτω φιλέει ὑποδύνειν. τοῖσι μὲν οὖν πλείστοισιν 
-Z/18a/420/7	  ὅταν ἐπιδεθῶσι, τὸ σχῆμα ἀρήγει, παρ' αὐτὰς τὰς πλευ-
-Z/18a/420/8	  ρὰς τὸν ἀγκῶνα ἔχοντα οὕτως ἐς τὸ ἄνω τὸν ὦμον ἀναγ-
-Z/18a/420/9	  κάζεσθαι. ἔστι δ' οἷσι μὲν τὸν ὦμον ἀναγκάζειν δεῖ ἐς 
-Z/18a/420/10	  τὸ ἄνω, ὡς εἴρηται. 
-Z/18a/420/11	          — — — 
-Z/18a/420/12	    Ὅταν οὖν τὸ συνεχὲς τῶν στέρνων μέρος τῆς κλειδὸς 
-Z/18a/420/13	ἢ εἰς τὸ πλάγιον ἢ εἰς τὸ κάτω παρολισθῇ, τηνικαῦτά φησι 
-Z/18a/420/14	συμπαρασκευάζεσθαι εἰς τὴν κατόρθωσιν, εἴ τις τὸν ἄνθρω-
-Z/18a/420/15	πον ὕπτιον κατακλίνας ὑποθείη μεταξὺ τῶν ὠμοπλατῶν 
-Z/18a/420/16	κατ' αὐτὴν τὴν ῥάχιν, δηλονότι προσκεφάλαιον ἢ ὑπαυχένιον 
-Z/18a/420/17	ἤ τι τοιοῦτον, ὡς περικεκλασμένον κατὰ τοῦτο γίνεσθαι τὸν 
-Z/18a/420/18	θώρακα σύμπαντα. τὸ γὰρ περιῤῥηδὲς ἔῃ οὕτως εἴρηται 
-Z/18a/420/19	καὶ παρὰ τῷ ποιητῇ· 
-Z/18a/420/20	      Περιῤῥηδής τε τραπέζης κατέπεσε.  
-Z/18a/421/1	κατὰ τοῦτον οὖν τὸν τρόπον σχηματισθέντος τοῦ ἀνθρώ-
-Z/18a/421/2	που τὸν ἰατρὸν ἀξιοῖ τῇ μὲν ἑτέρᾳ χειρὶ τὴν κεφαλὴν τοῦ 
-Z/18a/421/3	βραχίονος διανάγειν παρὰ τὰς πλευρὰς παρατεταμένον ἀπω-
-Z/18a/421/4	θεῖν ἐκτός. οὕτως γὰρ ἂν διασταίη μάλιστα τὰ κατεαγότα 
-Z/18a/421/5	μόρια τῆς κλειδὸς εἰς τοῦτο καὶ τοῦ περιῤῥηδοῦς σχήματος 
-Z/18a/421/6	συντελοῦντος οὐ μικρόν. διαπλάττειν δὲ τῇ ἑτέρᾳ χειρὶ καὶ 
-Z/18a/421/7	συναπάγειν πρὸς ἄλληλα τὰ διεστῶτα τῆς χειρὸς μόρια τὸν 
-Z/18a/421/8	βραχίονα πρὸς τὰς πλευρὰς παρατεταμένον ἀνάγοντα κατὰ 
-Z/18a/421/9	τὴν ἑξῆς ῥῆσιν ἐνίοτέ φησιν ἄμεινον εἶναι. 
-Z/18a/421/10	          — — — 
-Z/18a/421/11	            ογʹ. 
-Z/18a/421/12	Τὸν δὲ ἀγκῶνα πρὸς τὸ στῆθος παράγειν, ἄκρην 
-Z/18a/421/13	  δὲ τὴν χεῖρα παρὰ τὸ ἀκρώμιον τοῦ ὑγιέος ὤμου ἴσχειν· 
-Z/18a/421/14	  ἢν μὲν οὖν κατακέεσθαι τολμᾷ, ἀντιστήριγμά τι προστι-
-Z/18a/421/15	  θέναι χρὴ, ὡς ἂν ὁ ὦμος ἀνωτάτω ἔῃ, ἢν δὲ περιίῃ, 
-Z/18a/421/16	  σφενδόνην χρὴ ἐκ ταινίης περὶ τὸ ὀξὺ τοῦ ἀγκῶνος ποιή-
-Z/18a/421/17	  σαντα ἀναλαμβάνειν περὶ τὸν αὐχένα. 
-Z/18a/421/18	          — — —  
-Z/18a/422/1	    Τὸ δὲ τοιοῦτον σχῆμα πρὸς τὴν ἐκτὸς χώραν ἀπάγει 
-Z/18a/422/2	δηλονότι τὴν κεφαλὴν τοῦ βραχίονος, ὡς συναπάγεται καὶ 
-Z/18a/422/3	τὸ τῆς κλειδὸς μέρος τὸ συνημμένον τῷ ἀκρωμίῳ, ἀλλ' οὐκ 
-Z/18a/422/4	εἶναι χρείαν φησὶ τοιούτου σχήματος ὡς τὸ πολύ. γίγνε-
-Z/18a/422/5	σθαι γὰρ αὐτάρκως τὴν ἐπανόρθωσιν καὶ διὰ τοῦ προτέ-
-Z/18a/422/6	ρου, καθ' ὃ περὶ τὰς πλευρὰς ὁ βραχίων παρατεταμένος 
-Z/18a/422/7	ἐπήγετο, τοῦ ἀγκῶνος αὐτόθι μένοντος, οὐχ ὥσπερ νῦν 
-Z/18a/422/8	ἐπὶ τὸ στῆθος παραγενομένου. τοῦτ' οὖν παρέχειν ἐπὶ τὸ 
-Z/18a/422/9	στῆθος οὐχ ὡς ἀχρήστου τοῦ προτέρου φευκτέον ἡμῖν ἐστιν, 
-Z/18a/422/10	ἀλλ' ὡς καὶ διακινουμένου τὰ πολλὰ τῆς προκειμένης ἐνερ-
-Z/18a/422/11	γείας κατορθοῦσθαι δυναμένης. εἰ δ' ἐν τῷ πράττειν αὐ-
-Z/18a/422/12	τὴν μὴ ὑπακούοι τὸ ἔργον, οὕτως ἐπὶ τὸ δεύτερον σχῆμα 
-Z/18a/422/13	μεταβησόμεθα.  
